name,attack,classfication,defense,japanese_name,height_m,weight_kg,hp,speed,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,against_bug,base_egg_steps,base_happiness,base_total,capture_rate,against_dark,against_dragon,experience_growth,against_fairy,against_fire,against_electric,abilities,percentage_male,pokedex_number,sp_attack,sp_defense,against_flying,type1,type2,against_fight,generation,is_legendary
Espeon,65,Sun Pokémon,60,Eifieエーフィ,0.9,26.5,65,110,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,8960,70,525,45,2.0,1.0,1000000,1.0,1.0,1.0,"['Synchronize', 'Magic Bounce']",88.1,196,130,95,1.0,psychic,,0.5,2,0
Umbreon,65,Moonlight Pokémon,110,Blackyブラッキー,1.0,27.0,95,65,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,8960,35,525,45,0.5,1.0,1000000,2.0,1.0,1.0,"['Synchronize', 'Inner Focus']",88.1,197,60,130,1.0,dark,,2.0,2,0
Murkrow,85,Darkness Pokémon,42,Yamikarasuヤミカラス,0.5,2.1,60,91,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,5120,35,405,30,0.5,1.0,1059860,2.0,1.0,2.0,"['Insomnia', 'Super Luck', 'Prankster']",50.0,198,85,42,1.0,dark,flying,1.0,2,0
Slowking,75,Royal Pokémon,80,Yadokingヤドキング,2.0,79.5,95,30,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,2.0,5120,70,490,70,2.0,1.0,1000000,1.0,0.5,2.0,"['Oblivious', 'Own Tempo', 'Regenerator']",50.0,199,100,110,1.0,water,psychic,0.5,2,0
Misdreavus,60,Screech Pokémon,60,Mumaムウマ,0.7,1.0,60,85,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,6400,35,435,45,2.0,1.0,800000,1.0,1.0,1.0,['Levitate'],50.0,200,85,85,1.0,ghost,,0.0,2,0
Unown,72,Symbol Pokémon,48,Unknownアンノーン,0.5,5.0,48,48,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,10240,70,336,225,2.0,1.0,1000000,1.0,1.0,1.0,['Levitate'],,201,72,48,1.0,psychic,,0.5,2,0
Wobbuffet,33,Patient Pokémon,58,Sonansソーナンス,1.3,28.5,190,33,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,5120,70,405,45,2.0,1.0,1000000,1.0,1.0,1.0,"['Shadow Tag', 'Telepathy']",50.0,202,33,58,1.0,psychic,,0.5,2,0
Girafarig,80,Long Neck Pokémon,65,Kirinrikiキリンリキ,1.5,41.5,70,85,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,5120,70,455,60,2.0,1.0,1000000,1.0,1.0,1.0,"['Inner Focus', 'Early Bird', 'Sap Sipper']",50.0,203,90,65,1.0,normal,psychic,1.0,2,0
Pineco,65,Bagworm Pokémon,90,Kunugidamaクヌギダマ,0.6,7.2,50,15,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5120,70,290,190,1.0,1.0,1000000,1.0,2.0,1.0,"['Sturdy', 'Overcoat']",50.0,204,35,35,2.0,bug,,0.5,2,0
Forretress,90,Bagworm Pokémon,140,Foretosフォレトス,1.2,125.8,75,40,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,5120,70,465,75,1.0,0.5,1000000,0.5,4.0,1.0,"['Sturdy', 'Overcoat']",50.0,205,60,60,1.0,bug,steel,1.0,2,0
Dunsparce,70,Land Snake Pokémon,70,Nokocchiノコッチ,1.5,14.0,100,45,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,415,190,1.0,1.0,1000000,1.0,1.0,1.0,"['Serene Grace', 'Run Away', 'Rattled']",50.0,206,65,65,1.0,normal,,2.0,2,0
Gligar,75,Flyscorpion Pokémon,105,Gligerグライガー,1.1,64.8,65,85,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,0.5,5120,70,430,60,1.0,1.0,1059860,1.0,1.0,0.0,"['Hyper Cutter', 'Sand Veil', 'Immunity']",50.0,207,35,65,1.0,ground,flying,0.5,2,0
Steelix,125,Iron Snake Pokémon,230,Haganeilハガネール,9.2,400.0,75,30,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,0.5,6400,70,610,25,1.0,0.5,1000000,0.5,2.0,0.0,"['Rock Head', 'Sturdy', 'Sheer Force']",50.0,208,55,95,0.5,steel,ground,2.0,2,0
Snubbull,80,Fairy Pokémon,50,Buluブルー,0.6,7.8,60,30,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,5120,70,300,190,0.5,0.0,800000,1.0,1.0,1.0,"['Intimidate', 'Run Away', 'Rattled']",24.6,209,40,40,1.0,fairy,,0.5,2,0
Granbull,120,Fairy Pokémon,75,Granbuluグランブル,1.4,48.7,90,45,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,5120,70,450,75,0.5,0.0,800000,1.0,1.0,1.0,"['Intimidate', 'Quick Feet', 'Rattled']",24.6,210,60,60,1.0,fairy,,0.5,2,0
Qwilfish,95,Balloon Pokémon,85,Harysenハリーセン,0.5,3.9,65,85,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,0.5,5120,70,440,45,1.0,1.0,1000000,0.5,0.5,2.0,"['Poison Point', 'Swift Swim', 'Intimidate']",50.0,211,55,55,1.0,water,poison,0.5,2,0
Scizor,150,Pincer Pokémon,140,Hassamハッサム,1.8,118.0,70,75,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,0.5,6400,70,600,25,1.0,0.5,1000000,0.5,4.0,1.0,"['Swarm', 'Technician', 'Light Metal']",50.0,212,65,100,1.0,bug,steel,1.0,2,0
Shuckle,10,Mold Pokémon,230,Tsubotsuboツボツボ,0.6,20.5,20,5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,1.0,5120,70,505,190,1.0,1.0,1059860,1.0,1.0,1.0,"['Sturdy', 'Gluttony', 'Contrary']",50.0,213,10,230,1.0,bug,rock,1.0,2,0
Heracross,185,Singlehorn Pokémon,115,Heracrosヘラクロス,1.5,54.0,80,75,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,6400,70,600,45,0.5,1.0,1250000,2.0,2.0,1.0,"['Swarm', 'Guts', 'Moxie']",50.0,214,40,105,4.0,bug,fighting,0.5,2,0
Sneasel,95,Sharp Claw Pokémon,55,Nyulaニューラ,0.9,28.0,55,115,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5120,35,430,60,0.5,1.0,1059860,2.0,2.0,1.0,"['Inner Focus', 'Keen Eye', 'Pickpocket']",50.0,215,35,75,1.0,dark,ice,4.0,2,0
Teddiursa,80,Little Bear Pokémon,50,Himegumaヒメグマ,0.6,8.8,60,40,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,330,120,1.0,1.0,1000000,1.0,1.0,1.0,"['Pickup', 'Quick Feet', 'Honey Gather']",50.0,216,50,50,1.0,normal,,2.0,2,0
Ursaring,130,Hibernator Pokémon,75,Ringumaリングマ,1.8,125.8,90,55,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,500,60,1.0,1.0,1000000,1.0,1.0,1.0,"['Guts', 'Quick Feet', 'Unnerve']",50.0,217,75,75,1.0,normal,,2.0,2,0
Slugma,40,Lava Pokémon,40,Magmagマグマッグ,0.7,35.0,40,20,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,250,190,1.0,1.0,1000000,0.5,0.5,1.0,"['Magma Armor', 'Flame Body', 'Weak Armor']",50.0,218,70,40,1.0,fire,,1.0,2,0
Magcargo,50,Lava Pokémon,120,Magcargotマグカルゴ,0.8,55.0,60,30,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,0.5,5120,70,430,75,1.0,1.0,1000000,0.5,0.25,1.0,"['Magma Armor', 'Flame Body', 'Weak Armor']",50.0,219,90,80,0.5,fire,rock,2.0,2,0
Swinub,50,Pig Pokémon,40,Urimooウリムー,0.4,6.5,50,50,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,5120,70,250,225,1.0,1.0,1250000,1.0,2.0,0.0,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50.0,220,30,30,1.0,ice,ground,2.0,2,0
Piloswine,100,Swine Pokémon,80,Inomooイノムー,1.1,55.8,100,50,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,5120,70,450,75,1.0,1.0,1250000,1.0,2.0,0.0,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50.0,221,60,60,1.0,ice,ground,2.0,2,0
Corsola,55,Coral Pokémon,95,Sunnygoサニーゴ,0.6,5.0,65,35,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,5120,70,410,60,1.0,1.0,800000,1.0,0.25,2.0,"['Hustle', 'Natural Cure', 'Regenerator']",24.6,222,65,95,0.5,water,rock,2.0,2,0
Remoraid,65,Jet Pokémon,35,Teppouoテッポウオ,0.6,12.0,35,65,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,300,190,1.0,1.0,1000000,1.0,0.5,2.0,"['Hustle', 'Sniper', 'Moody']",50.0,223,65,35,1.0,water,,1.0,2,0
Octillery,105,Jet Pokémon,75,Okutankオクタン,0.9,28.5,75,45,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,480,75,1.0,1.0,1000000,1.0,0.5,2.0,"['Suction Cups', 'Sniper', 'Moody']",50.0,224,105,75,1.0,water,,1.0,2,0
Delibird,55,Delivery Pokémon,45,Delibirdデリバード,0.9,16.0,45,75,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.5,5120,70,330,45,1.0,1.0,800000,1.0,2.0,2.0,"['Vital Spirit', 'Hustle', 'Insomnia']",50.0,225,65,45,1.0,ice,flying,1.0,2,0
Mantine,40,Kite Pokémon,70,Mantainマンタイン,2.1,220.0,85,70,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,6400,70,485,25,1.0,1.0,1250000,1.0,0.5,4.0,"['Swift Swim', 'Water Absorb', 'Water Veil']",50.0,226,80,140,1.0,water,flying,0.5,2,0
Skarmory,80,Armor Bird Pokémon,140,Airmdエアームド,1.7,50.5,65,70,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,0.25,6400,70,465,25,1.0,0.5,1250000,0.5,2.0,2.0,"['Keen Eye', 'Sturdy', 'Weak Armor']",50.0,227,40,70,0.5,steel,flying,1.0,2,0
Houndour,60,Dark Pokémon,30,Delvilデルビル,0.6,10.8,45,65,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,1.0,5120,35,330,120,0.5,1.0,1250000,1.0,0.5,1.0,"['Early Bird', 'Flash Fire', 'Unnerve']",50.0,228,80,50,1.0,dark,fire,2.0,2,0
Houndoom,90,Dark Pokémon,90,Hellgarヘルガー,1.4,35.0,75,115,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,1.0,5120,35,600,45,0.5,1.0,1250000,1.0,0.5,1.0,"['Early Bird', 'Flash Fire', 'Unnerve']",50.0,229,140,90,1.0,dark,fire,2.0,2,0
Kingdra,95,Dragon Pokémon,95,Kingdraキングドラ,1.8,152.0,75,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,5120,70,540,45,1.0,2.0,1000000,2.0,0.25,1.0,"['Swift Swim', 'Sniper', 'Damp']",50.0,230,95,95,1.0,water,dragon,1.0,2,0
Phanpy,60,Long Nose Pokémon,60,Gomazouゴマゾウ,0.5,33.5,90,40,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,5120,70,330,120,1.0,1.0,1000000,1.0,1.0,0.0,"['Pickup', 'Sand Veil']",50.0,231,40,40,1.0,ground,,1.0,2,0
Donphan,120,Armor Pokémon,120,Donfanドンファン,1.1,120.0,90,50,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,5120,70,500,60,1.0,1.0,1000000,1.0,1.0,0.0,"['Sturdy', 'Sand Veil']",50.0,232,60,60,1.0,ground,,1.0,2,0
Porygon2,80,Virtual Pokémon,90,Porygon2ポリゴン２,0.6,32.5,85,60,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,515,45,1.0,1.0,1000000,1.0,1.0,1.0,"['Trace', 'Download', 'Analytic']",,233,105,95,1.0,normal,,2.0,2,0
Stantler,95,Big Horn Pokémon,62,Odoshishiオドシシ,1.4,71.2,73,85,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,465,45,1.0,1.0,1250000,1.0,1.0,1.0,"['Intimidate', 'Frisk', 'Sap Sipper']",50.0,234,85,65,1.0,normal,,2.0,2,0
Smeargle,20,Painter Pokémon,35,Dobleドーブル,1.2,58.0,55,75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,250,45,1.0,1.0,800000,1.0,1.0,1.0,"['Own Tempo', 'Technician', 'Moody']",50.0,235,20,45,1.0,normal,,2.0,2,0
Tyrogue,35,Scuffle Pokémon,35,Balkieバルキー,0.7,21.0,35,35,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,6400,70,210,75,0.5,1.0,1000000,2.0,1.0,1.0,"['Guts', 'Steadfast', 'Vital Spirit']",100.0,236,35,35,2.0,fighting,,1.0,2,0
Hitmontop,95,Handstand Pokémon,95,Kapoererカポエラー,1.4,48.0,50,70,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,6400,70,455,45,0.5,1.0,1000000,2.0,1.0,1.0,"['Intimidate', 'Technician', 'Steadfast']",100.0,237,35,110,2.0,fighting,,1.0,2,0
Smoochum,30,Kiss Pokémon,15,Muchulムチュール,0.4,6.0,45,65,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,2.0,6400,70,305,45,2.0,1.0,1000000,1.0,2.0,1.0,"['Oblivious', 'Forewarn', 'Hydration']",0.0,238,85,65,1.0,ice,psychic,1.0,2,0
Elekid,63,Electric Pokémon,37,Elekidエレキッド,0.6,23.5,45,95,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,6400,70,360,45,1.0,1.0,1000000,1.0,1.0,0.5,"['Static', 'Vital Spirit']",75.4,239,65,55,0.5,electric,,1.0,2,0
Magby,75,Live Coal Pokémon,37,Bubyブビィ,0.7,21.4,45,83,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,6400,70,365,45,1.0,1.0,1000000,0.5,0.5,1.0,"['Flame Body', 'Vital Spirit']",75.4,240,70,55,1.0,fire,,1.0,2,0
Miltank,80,Milk Cow Pokémon,105,Miltankミルタンク,1.2,75.5,95,100,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,490,45,1.0,1.0,1250000,1.0,1.0,1.0,"['Thick Fat', 'Scrappy', 'Sap Sipper']",0.0,241,40,70,1.0,normal,,2.0,2,0
Blissey,10,Happiness Pokémon,10,Happinasハピナス,1.5,46.8,255,55,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10240,140,540,30,1.0,1.0,800000,1.0,1.0,1.0,"['Natural Cure', 'Serene Grace', 'Healer']",0.0,242,75,135,1.0,normal,,2.0,2,0
Raikou,85,Thunder Pokémon,75,Raikouライコウ,1.9,178.0,90,115,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,20480,35,580,3,1.0,1.0,1250000,1.0,1.0,0.5,"['Pressure', 'Inner Focus']",,243,115,100,0.5,electric,,1.0,2,1
Entei,115,Volcano Pokémon,85,Enteiエンテイ,2.1,198.0,115,100,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,20480,35,580,3,1.0,1.0,1250000,0.5,0.5,1.0,"['Pressure', 'Inner Focus']",,244,90,75,1.0,fire,,1.0,2,1
Suicune,75,Aurora Pokémon,115,Suicuneスイクン,2.0,187.0,100,85,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,20480,35,580,3,1.0,1.0,1250000,1.0,0.5,2.0,"['Pressure', 'Inner Focus']",,245,90,115,1.0,water,,1.0,2,1
Larvitar,64,Rock Skin Pokémon,50,Yogirasヨーギラス,0.6,72.0,50,41,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,1.0,10240,35,300,45,1.0,1.0,1250000,1.0,0.5,0.0,"['Guts', 'Sand Veil']",50.0,246,45,50,0.5,rock,ground,2.0,2,0
Pupitar,84,Hard Shell Pokémon,70,Sanagirasサナギラス,1.2,152.0,70,51,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,1.0,10240,35,410,45,1.0,1.0,1250000,1.0,0.5,0.0,['Shed Skin'],50.0,247,65,70,0.5,rock,ground,2.0,2,0
Tyranitar,164,Armor Pokémon,150,Bangirasバンギラス,2.0,202.0,100,71,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0,2.0,10240,35,700,45,0.5,1.0,1250000,2.0,0.5,1.0,"['Sand Stream', 'Unnerve']",50.0,248,95,120,0.5,rock,dark,4.0,2,0
Lugia,90,Diving Pokémon,130,Lugiaルギア,5.2,216.0,106,110,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,30720,0,680,3,2.0,1.0,1250000,1.0,1.0,2.0,"['Pressure', 'Multiscale']",,249,90,154,1.0,psychic,flying,0.25,2,1
Ho-Oh,130,Rainbow Pokémon,90,Hououホウオウ,3.8,199.0,106,90,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,0.25,30720,0,680,3,1.0,1.0,1250000,0.5,0.5,2.0,"['Pressure', 'Regenerator']",,250,110,154,1.0,fire,flying,0.5,2,1
Celebi,100,Time Travel Pokémon,100,Celebiセレビィ,0.6,5.0,100,100,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,4.0,30720,100,600,45,2.0,1.0,1059860,1.0,2.0,0.5,['Natural Cure'],,251,100,100,2.0,psychic,grass,0.5,2,1
Treecko,45,Wood Gecko Pokémon,35,Kimoriキモリ,0.5,5.0,40,70,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,5120,70,310,45,1.0,1.0,1059860,1.0,2.0,0.5,"['Overgrow', 'Unburden']",88.1,252,65,55,2.0,grass,,1.0,3,0
Grovyle,65,Wood Gecko Pokémon,45,Juptileジュプトル,0.9,21.6,50,95,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,5120,70,405,45,1.0,1.0,1059860,1.0,2.0,0.5,"['Overgrow', 'Unburden']",88.1,253,85,65,2.0,grass,,1.0,3,0
Sceptile,110,Forest Pokémon,75,Jukainジュカイン,1.7,52.2,70,145,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,5120,70,630,45,1.0,1.0,1059860,1.0,2.0,0.5,"['Overgrow', 'Unburden']",88.1,254,145,85,2.0,grass,,1.0,3,0
Torchic,60,Chick Pokémon,40,Achamoアチャモ,0.4,2.5,45,45,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,310,45,1.0,1.0,1059860,0.5,0.5,1.0,"['Blaze', 'Speed Boost']",88.1,255,70,50,1.0,fire,,1.0,3,0
Combusken,85,Young Fowl Pokémon,60,Wakasyamoワカシャモ,0.9,19.5,60,55,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,0.25,5120,70,405,45,0.5,1.0,1059860,1.0,0.5,1.0,"['Blaze', 'Speed Boost']",88.1,256,85,60,2.0,fire,fighting,1.0,3,0
Blaziken,160,Blaze Pokémon,80,Bursyamoバシャーモ,1.9,52.0,80,100,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,0.25,5120,70,630,45,0.5,1.0,1059860,1.0,0.5,1.0,"['Blaze', 'Speed Boost']",88.1,257,130,80,2.0,fire,fighting,1.0,3,0
Mudkip,70,Mud Fish Pokémon,50,Mizugorouミズゴロウ,0.4,7.6,50,40,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,310,45,1.0,1.0,1059860,1.0,0.5,2.0,"['Torrent', 'Damp']",88.1,258,50,50,1.0,water,,1.0,3,0
Marshtomp,85,Mud Fish Pokémon,70,Numacrawヌマクロー,0.7,28.0,70,50,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,5120,70,405,45,1.0,1.0,1059860,1.0,0.5,0.0,"['Torrent', 'Damp']",88.1,259,60,70,1.0,water,ground,1.0,3,0
Swampert,150,Mud Fish Pokémon,110,Laglargeラグラージ,1.5,81.9,100,70,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,5120,70,635,45,1.0,1.0,1059860,1.0,0.5,0.0,"['Torrent', 'Damp']",88.1,260,95,110,1.0,water,ground,1.0,3,0
Poochyena,55,Bite Pokémon,35,Pochienaポチエナ,0.5,13.6,35,35,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3840,70,220,255,0.5,1.0,1000000,2.0,1.0,1.0,"['Run Away', 'Quick Feet', 'Rattled']",50.0,261,30,30,1.0,dark,,2.0,3,0
Mightyena,90,Bite Pokémon,70,Graenaグラエナ,1.0,37.0,70,70,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3840,70,420,127,0.5,1.0,1000000,2.0,1.0,1.0,"['Intimidate', 'Quick Feet', 'Moxie']",50.0,262,60,60,1.0,dark,,2.0,3,0
Zigzagoon,30,Tiny Racoon Pokémon,41,Jiguzagumaジグザグマ,0.4,17.5,38,60,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840,70,240,255,1.0,1.0,1000000,1.0,1.0,1.0,"['Pickup', 'Gluttony', 'Quick Feet']",50.0,263,30,41,1.0,normal,,2.0,3,0
Linoone,70,Rush Pokémon,61,Massugumaマッスグマ,0.5,32.5,78,100,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840,70,420,90,1.0,1.0,1000000,1.0,1.0,1.0,"['Pickup', 'Gluttony', 'Quick Feet']",50.0,264,50,61,1.0,normal,,2.0,3,0
Wurmple,45,Worm Pokémon,35,Kemussoケムッソ,0.3,3.6,45,20,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3840,70,195,255,1.0,1.0,1000000,1.0,2.0,1.0,"['Shield Dust', 'Run Away']",50.0,265,20,30,2.0,bug,,0.5,3,0
Silcoon,35,Cocoon Pokémon,55,Karasalisカラサリス,0.6,10.0,50,15,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3840,70,205,120,1.0,1.0,1000000,1.0,2.0,1.0,['Shed Skin'],50.0,266,25,25,2.0,bug,,0.5,3,0
Beautifly,70,Butterfly Pokémon,50,Agehuntアゲハント,1.0,28.4,60,65,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.5,3840,70,395,45,1.0,1.0,1000000,1.0,2.0,2.0,"['Swarm', 'Rivalry']",50.0,267,100,50,2.0,bug,flying,0.25,3,0
Cascoon,35,Cocoon Pokémon,55,Mayuldマユルド,0.7,11.5,50,15,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3840,70,205,120,1.0,1.0,1000000,1.0,2.0,1.0,['Shed Skin'],50.0,268,25,25,2.0,bug,,0.5,3,0
Dustox,50,Poison Moth Pokémon,70,Dokucaleドクケイル,1.2,31.6,60,65,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,3840,70,385,45,1.0,1.0,1000000,0.5,2.0,1.0,"['Shield Dust', 'Compoundeyes']",50.0,269,50,90,2.0,bug,poison,0.25,3,0
Lotad,30,Water Weed Pokémon,30,Hassbohハスボー,0.5,2.6,40,30,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,2.0,3840,70,220,255,1.0,1.0,1059860,1.0,1.0,1.0,"['Swift Swim', 'Rain Dish', 'Own Tempo']",50.0,270,40,50,2.0,water,grass,1.0,3,0
Lombre,50,Jolly Pokémon,50,Hasubreroハスブレロ,1.2,32.5,60,50,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,2.0,3840,70,340,120,1.0,1.0,1059860,1.0,1.0,1.0,"['Swift Swim', 'Rain Dish', 'Own Tempo']",50.0,271,60,70,2.0,water,grass,1.0,3,0
Ludicolo,70,Carefree Pokémon,70,Runpappaルンパッパ,1.5,55.0,80,70,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,2.0,3840,70,480,45,1.0,1.0,1059860,1.0,1.0,1.0,"['Swift Swim', 'Rain Dish', 'Own Tempo']",50.0,272,90,100,2.0,water,grass,1.0,3,0
Seedot,40,Acorn Pokémon,50,Tanebohタネボー,0.5,4.0,40,30,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,3840,70,220,255,1.0,1.0,1059860,1.0,2.0,0.5,"['Chlorophyll', 'Early Bird', 'Pickpocket']",50.0,273,30,30,2.0,grass,,1.0,3,0
Nuzleaf,70,Wily Pokémon,40,Konohanaコノハナ,1.0,28.0,70,60,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,4.0,3840,70,340,120,0.5,1.0,1059860,2.0,2.0,0.5,"['Chlorophyll', 'Early Bird', 'Pickpocket']",50.0,274,60,40,2.0,grass,dark,2.0,3,0
Shiftry,100,Wickid Pokémon,60,Dirtengダーテング,1.3,59.6,90,80,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,4.0,3840,70,480,45,0.5,1.0,1059860,2.0,2.0,0.5,"['Chlorophyll', 'Early Bird', 'Pickpocket']",50.0,275,90,60,2.0,grass,dark,2.0,3,0
Taillow,55,TinySwallow Pokémon,30,Subameスバメ,0.3,2.3,40,85,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,3840,70,270,200,1.0,1.0,1059860,1.0,1.0,2.0,"['Guts', 'Scrappy']",50.0,276,30,30,1.0,normal,flying,1.0,3,0
Swellow,85,Swallow Pokémon,60,Ohsubameオオスバメ,0.7,19.8,60,125,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,3840,70,455,45,1.0,1.0,1059860,1.0,1.0,2.0,"['Guts', 'Scrappy']",50.0,277,75,50,1.0,normal,flying,1.0,3,0
